id,project,label_ticket,link_ticket,status,tanggal,waktu_pengerjaan,detail_pengerjaan,pic,attachments,created_at,updated_at
sheet-tw-30125327-0-app---change-logo-10-10,Mitra10,App - Change Logo 10.10,https://teamwork.icubeonline.com/app/tasks/30125327,Done,,,,Mathius Geraldi,[],2026-09-17T00:18:33.730Z,2026-09-17T03:20:40.817Z
sheet-row-1-mitra10-app---change-logo-11-11,Mitra10,App - Change Logo 11.11,,Ongoing,,,,Mathius Geraldi,[],2026-09-17T00:18:33.732Z,2026-09-17T03:27:47.730Z
sheet-row-2-mitra10-app---change-logo-12-12,Mitra10,App - Change Logo 12.12,,Ongoing,,,,Mathius Geraldi,[],2026-09-17T00:18:33.732Z,2026-09-17T03:27:57.248Z
sheet-tw-30122715-3-set-billing-customer-usin,Lautan Luas,Set billing customer using company address,https://teamwork.icubeonline.com/app/tasks/30122715,Done,,,,Mathius Geraldi,[],2026-09-17T00:18:33.732Z,2026-09-17T03:19:36.776Z
sheet-tw-30102587-4-feedback-cr-improvement-s,Erha,Feedback CR Improvement Skin analyzer,https://teamwork.icubeonline.com/app/tasks/30102587,Done,,,- styling button share,Mathius Geraldi,[],2026-09-17T00:18:33.732Z,2026-09-17T03:20:32.080Z
sheet-tw-30125335-5-pos---issue-duplicate-cus,Erha,POS - Issue duplicate customer phone number,https://teamwork.icubeonline.com/app/tasks/30125335,Done,,,,Mathius Geraldi,[],2026-09-17T00:18:33.732Z,2026-09-17T03:19:07.947Z
sheet-tw-30121087-6-apply-shipping-eta-to-dev,Obermain,Apply Shipping ETA to Dev site,https://teamwork.icubeonline.com/app/tasks/30121087,Done,,,,Mathius Geraldi,[],2026-09-17T00:18:33.732Z,2026-09-17T03:19:58.478Z
sheet-row-7-mitra10-push-notif-bug,Mitra10,Push Notif BUG,,Blocker,,,"- duplicate
- need handle new line message
- clear message duplicate

Blocker :
- Menunggu dari BE clear",Mathius Geraldi,[],2026-09-17T00:18:33.732Z,2026-09-17T01:02:10.000Z
sheet-tw-30110253-8-feedback-wizzy---when-ent,Mitra10,Feedback Wizzy,https://teamwork.icubeonline.com/app/tasks/30110253,Done,,,"- When entering the query “toto kloset ce9” and pressing Enter to perform the search, the query is being sent as “toto klosetce9”, where the second space is removed.",Mathius Geraldi,[],2026-09-17T00:18:33.732Z,2026-09-17T03:20:07.455Z
sheet-tw-30102587-9-feedback-skinai---social-,Erha,Feedback SkinAI,https://teamwork.icubeonline.com/app/tasks/30102587,Done,,,"- Social share tidak perlu otomatis download, agar tidak membingungkan saat muncul “Download file again?” sebelum redirect ke social media.
- Karena tidak bisa auto create post, maka tambahkan wording dibawah social share sbb : Caption will be copied when you click a platform.
- Untuk Tiktok, apakah linknya keliru? Atau memang tidak support untuk open App",Mathius Geraldi,[],2026-09-17T00:18:33.732Z,2026-09-17T03:20:22.477Z
sheet-tw-30091722-10-gopay-miniapp-fixing-paym,Mitra10,Gopay Miniapp fixing payment redirect,https://teamwork.icubeonline.com/app/tasks/30091722,Done,,,,Mathius Geraldi,[],2026-09-17T00:18:33.733Z,2026-09-17T03:19:16.679Z
sheet-row-11-9to9-app-reward-point---initia,9to9,App Reward Point - Initial Setup,,Done,2026-09-15,,"1        Investigasi & Audit Konfigurasi Firebase
• Pengecekan Firebase Project aktif (to9-apps) pada google-services.json (Android) & GoogleService-Info.plist (iOS).
• Analisis error permission Firebase Cloud Messaging di console serta verifikasi kebutuhan APNs Auth Key (.p8) untuk push notifikasi iOS vs Firebase Analytics.        45 menit (0.75 jam)
2        Implementasi Pengumpulan Data Reward Point (Register Flow)
• Implementasi penarikan tanggal pertama install (DeviceInfo.getFirstInstallTime()) dan Unique Device ID (DeviceInfo.getUniqueId()).
• Pengambilan token FCM device (getFcmTokenWithRetry) serta update GraphQL schema CREATE_CUSTOMER_SCHEMA untuk mendapatkan Shopify customer.id.
• Penyusunan format payload lengkap (email, phone, customer_id, device_id, first_install_date, fcm_token, platform, app_version, build_number).        1 jam 15 menit (1.25 jam)
3        Pembuatan Modul Service API & Preview Alert Dialog
• Pembuatan modul service submitRewardPointRegistration (reward.ts) dengan error handling dan pembacaan konfigurasi .env.
• Penambahan typing env variable (APP_REWARD_URL & APP_REWARD_KEY) di types/index.ts.
• Implementasi Alert.alert dialog di RegisterScreen.hook.ts untuk menampilkan preview data JSON payload saat registrasi berhasil sebelum diarahkan ke login.        45 menit (0.75 jam)
4        Optimasi Native Push Notification & Handling Klik Notifikasi
• Penambahan permission POST_NOTIFICATIONS di AndroidManifest.xml untuk dukungan Android 13+ (API 33+).
• Penambahan listener onTokenRefresh di useFirebasePushNotification.ts untuk auto-sync token FCM terbaru.
• Integrasi handler quit-state / cold-start notification via notifee.getInitialNotification() dan perbaikan fallback navigasi Home tab di useHandleDeeplink.ts.        45 menit (0.75 jam)
5        Local Testing & Verifikasi Flow di Android & iOS
• Testing flow registrasi di device Android: verifikasi First Install Date, Device ID, FCM Token, dan tampilan alert payload.
• Testing flow registrasi di device iOS: verifikasi IDFV device ID, kelancaran form registrasi, dan format payload.
• Testing interaksi klik push notification di berbagai kondisi state (Foreground via Notifee, Background, dan Quit/Killed State).        45 menit (0.75 jam)",Mathius Geraldi,[],2026-09-17T00:18:33.733Z,2026-09-17T03:21:00.391Z
sheet-tw-30126340-12-marketing-otomasi--webeng,Mitra10,Marketing otomasi (Webengage),https://teamwork.icubeonline.com/app/tasks/30126340,Done,2026-09-15,,"================================================================================
TIMESHEET / LOG TIME PENGERJAAN
Task        : Integrasi Marketing Automation WebEngage (Web SDK, User & Event Tracking)
Project     : PWA Mitra10
Developer   : Frontend Developer
Total Waktu : 20.0 Jam (~2.5 Hari Kerja)
================================================================================

[HARI 1] - 8.0 Jam
--------------------------------------------------------------------------------
1. Analisis & Perencanaan Arsitektur Tracking (2.0 Jam)
   - Mempelajari dokumentasi WebEngage (Web SDK, REST API User, Event Tracking).
   - Mapping event e-commerce funnel Mitra10 (View, Search, Cart, Checkout, Purchase).
   - Mengidentifikasi file sentral dan batasan direktori (khusus folder `src/`).

2. Setup SDK & Modul Helper Sentral (3.0 Jam)
   - Menambahkan konfigurasi dinamis WebEngage pada `swift.config.js` (Multi-region & fallback env).
   - Menambahkan module path alias `@helper_webengage` pada `babel.config.json` & `jsconfig.json`.
   - Membuat helper sentral `src/helpers/webengage.js` dengan proteksi SSR, sanitasi data, formatting phone number E.164, dan custom/system attributes mapper.
   - Injeksi snippet SPA WebEngage di `_document.js` dan inisialisasi lifecycle login di `_app.js`.

3. Integrasi User Lifecycle & Autentikasi (3.0 Jam)
   - Implementasi Login & sinkronisasi user attributes (`login/core.js`, `authentication/core.js`).
   - Implementasi Register tracking (`register/core.js`).
   - Implementasi Logout & session reset di Desktop Header, Customer Layout, dan Mobile Account Drawer.

--------------------------------------------------------------------------------
[HARI 2] - 8.0 Jam
--------------------------------------------------------------------------------
4. Integrasi Tracking Catalog, Search, & Wishlist (2.5 Jam)
   - Implementasi event `Product Viewed` di halaman PDP (`product/core.js`).
   - Implementasi event `Category Viewed` di halaman PLP (`catalog/category/components/index.js`).
   - Implementasi event `Searched` di Header Desktop & Search Modal Popup.
   - Implementasi event `Added to Wishlist` & `Removed from Wishlist` (PDP, Catalog Item, & Wishlist Page).

5. Integrasi Cart Funnel & Penanganan Qty (3.5 Jam)
   - Implementasi event `Added to Cart` untuk produk Simple, Configurable, Bundle, dan Virtual.
   - Update GraphQL Schema Cart (`cart/services/graphql/schema.js`) untuk fetch `sku` dan `categories`.
   - Implementasi event `Removed from Cart` di Main Cart Page (`cart/core.js`) dan Mini Cart Drawer (`mini/core.js`).
   - Implementasi logic tracking penambahan qty (`Added to Cart` dengan delta) & pengurangan qty (`Removed from Cart` dengan delta).

6. Integrasi Review & Social Share (2.0 Jam)
   - Implementasi tracking `Rated or Reviewed Product` pada submit review dialog PDP.
   - Implementasi tracking `Shared on Social Media` pada share popup PDP.

--------------------------------------------------------------------------------
[HARI 3] - 4.0 Jam
--------------------------------------------------------------------------------
7. Integrasi Checkout & Purchase Funnel (2.5 Jam)
   - Update GraphQL Schema Checkout (`checkout/services/graphql/schema.js`) untuk item vendor data.
   - Implementasi event `Checkout Started` di `checkout/core.js`.
   - Bugfix duplicate trigger: Penambahan guard ref `trackedCheckoutCartId` agar `Checkout Started` tidak terpanggil berulang kali saat user ubah shipping/payment.
   - Implementasi event `Checkout Completed` di `thanks/core.js` (total order, coupon, tax, shipping, item list).

8. Testing, Linting & Verifikasi Keamanan (1.5 Jam)
   - Pengujian parsing payload event (Product ID, SKU, Category, Price, Currency).
   - Validasi fallback handling jika WebEngage script diblokir/adblocker/belum ada env.
   - Code hygiene, ESLint syntax check, dan verifikasi struktur module alias.

================================================================================
RINGKASAN TOTAL: 20 Jam
Status: Selesai (Menunggu License Code / Environment Variables untuk UAT Final)
================================================================================",Mathius Geraldi,[],2026-09-17T00:18:33.733Z,2026-09-17T07:11:54.323Z
